partition,client_id,client_csv,class_name,count
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,airplane,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,airport,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,baseball_diamond,2
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,basketball_court,131
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,beach,3
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,bridge,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,chaparral,21
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,church,27
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,circular_farmland,134
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,cloud,1
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,commercial_area,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,dense_residential,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,desert,140
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,forest,2
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,freeway,19
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,golf_course,115
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,ground_track_field,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,harbor,115
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,industrial_area,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,intersection,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,island,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,lake,25
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,meadow,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,medium_residential,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,mobile_home_park,140
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,mountain,19
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,overpass,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,palace,3
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,parking_lot,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,railway,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,railway_station,140
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,rectangular_farmland,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,river,140
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,roundabout,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,runway,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,sea_ice,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,ship,1
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,snowberg,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,sparse_residential,140
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,stadium,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,storage_tank,0
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,tennis_court,11
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,terrace,99
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,thermal_power_station,27
clients_dirichlet_alpha01,0,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_0.csv,wetland,126
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,airplane,3
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,airport,108
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,baseball_diamond,98
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,basketball_court,9
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,beach,137
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,bridge,4
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,chaparral,119
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,church,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,circular_farmland,6
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,cloud,134
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,commercial_area,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,dense_residential,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,desert,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,forest,5
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,freeway,121
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,golf_course,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,ground_track_field,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,harbor,20
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,industrial_area,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,intersection,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,island,140
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,lake,115
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,meadow,140
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,medium_residential,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,mobile_home_park,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,mountain,121
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,overpass,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,palace,137
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,parking_lot,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,railway,140
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,railway_station,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,rectangular_farmland,140
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,river,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,roundabout,139
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,runway,94
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,sea_ice,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,ship,139
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,snowberg,140
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,sparse_residential,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,stadium,140
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,storage_tank,0
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,tennis_court,129
clients_dirichlet_alpha01,1,E:/VIT-FL/privacy_fed_vit_rs/data/splits/nwpu/clients_dirichlet_alpha01/client_1.csv,terrace,0
