image_path,label,class_name
data/raw/nwpu_resisc45/airplane/airplane_00235.jpg,0,airplane
data/raw/nwpu_resisc45/commercial_area/commercial_area_00338.jpg,10,commercial_area
data/raw/nwpu_resisc45/forest/forest_00254.jpg,13,forest
data/raw/nwpu_resisc45/intersection/intersection_00426.jpg,19,intersection
data/raw/nwpu_resisc45/storage_tank/storage_tank_00664.jpg,40,storage_tank
data/raw/nwpu_resisc45/forest/forest_00173.jpg,13,forest
data/raw/nwpu_resisc45/overpass/overpass_00069.jpg,26,overpass
data/raw/nwpu_resisc45/medium_residential/medium_residential_00019.jpg,23,medium_residential
data/raw/nwpu_resisc45/sea_ice/sea_ice_00618.jpg,35,sea_ice
data/raw/nwpu_resisc45/storage_tank/storage_tank_00694.jpg,40,storage_tank
data/raw/nwpu_resisc45/church/church_00154.jpg,7,church
data/raw/nwpu_resisc45/airplane/airplane_00600.jpg,0,airplane
data/raw/nwpu_resisc45/bridge/bridge_00680.jpg,5,bridge
data/raw/nwpu_resisc45/church/church_00672.jpg,7,church
data/raw/nwpu_resisc45/parking_lot/parking_lot_00012.jpg,28,parking_lot
data/raw/nwpu_resisc45/intersection/intersection_00531.jpg,19,intersection
data/raw/nwpu_resisc45/intersection/intersection_00412.jpg,19,intersection
data/raw/nwpu_resisc45/airplane/airplane_00319.jpg,0,airplane
data/raw/nwpu_resisc45/forest/forest_00439.jpg,13,forest
data/raw/nwpu_resisc45/bridge/bridge_00269.jpg,5,bridge
data/raw/nwpu_resisc45/bridge/bridge_00286.jpg,5,bridge
data/raw/nwpu_resisc45/church/church_00616.jpg,7,church
data/raw/nwpu_resisc45/medium_residential/medium_residential_00232.jpg,23,medium_residential
data/raw/nwpu_resisc45/church/church_00142.jpg,7,church
data/raw/nwpu_resisc45/commercial_area/commercial_area_00320.jpg,10,commercial_area
data/raw/nwpu_resisc45/overpass/overpass_00271.jpg,26,overpass
data/raw/nwpu_resisc45/forest/forest_00034.jpg,13,forest
data/raw/nwpu_resisc45/thermal_power_station/thermal_power_station_00004.jpg,43,thermal_power_station
data/raw/nwpu_resisc45/sea_ice/sea_ice_00128.jpg,35,sea_ice
data/raw/nwpu_resisc45/dense_residential/dense_residential_00263.jpg,11,dense_residential
data/raw/nwpu_resisc45/airplane/airplane_00635.jpg,0,airplane
data/raw/nwpu_resisc45/baseball_diamond/baseball_diamond_00518.jpg,2,baseball_diamond
data/raw/nwpu_resisc45/parking_lot/parking_lot_00438.jpg,28,parking_lot
data/raw/nwpu_resisc45/overpass/overpass_00189.jpg,26,overpass
data/raw/nwpu_resisc45/runway/runway_00529.jpg,34,runway
data/raw/nwpu_resisc45/terrace/terrace_00137.jpg,42,terrace
data/raw/nwpu_resisc45/sea_ice/sea_ice_00122.jpg,35,sea_ice
data/raw/nwpu_resisc45/wetland/wetland_00449.jpg,44,wetland
data/raw/nwpu_resisc45/industrial_area/industrial_area_00046.jpg,18,industrial_area
data/raw/nwpu_resisc45/sea_ice/sea_ice_00515.jpg,35,sea_ice
data/raw/nwpu_resisc45/terrace/terrace_00179.jpg,42,terrace
data/raw/nwpu_resisc45/dense_residential/dense_residential_00128.jpg,11,dense_residential
data/raw/nwpu_resisc45/dense_residential/dense_residential_00142.jpg,11,dense_residential
data/raw/nwpu_resisc45/sea_ice/sea_ice_00650.jpg,35,sea_ice
data/raw/nwpu_resisc45/parking_lot/parking_lot_00442.jpg,28,parking_lot
data/raw/nwpu_resisc45/parking_lot/parking_lot_00665.jpg,28,parking_lot
data/raw/nwpu_resisc45/sea_ice/sea_ice_00545.jpg,35,sea_ice
data/raw/nwpu_resisc45/ground_track_field/ground_track_field_00091.jpg,16,ground_track_field
data/raw/nwpu_resisc45/storage_tank/storage_tank_00086.jpg,40,storage_tank
data/raw/nwpu_resisc45/parking_lot/parking_lot_00264.jpg,28,parking_lot
data/raw/nwpu_resisc45/thermal_power_station/thermal_power_station_00489.jpg,43,thermal_power_station
data/raw/nwpu_resisc45/dense_residential/dense_residential_00010.jpg,11,dense_residential
data/raw/nwpu_resisc45/church/church_00442.jpg,7,church
data/raw/nwpu_resisc45/ground_track_field/ground_track_field_00527.jpg,16,ground_track_field
data/raw/nwpu_resisc45/church/church_00196.jpg,7,church
data/raw/nwpu_resisc45/forest/forest_00005.jpg,13,forest
data/raw/nwpu_resisc45/cloud/cloud_00420.jpg,9,cloud
data/raw/nwpu_resisc45/dense_residential/dense_residential_00476.jpg,11,dense_residential
data/raw/nwpu_resisc45/forest/forest_00625.jpg,13,forest
data/raw/nwpu_resisc45/ground_track_field/ground_track_field_00579.jpg,16,ground_track_field
data/raw/nwpu_resisc45/airplane/airplane_00177.jpg,0,airplane
data/raw/nwpu_resisc45/overpass/overpass_00466.jpg,26,overpass
data/raw/nwpu_resisc45/bridge/bridge_00572.jpg,5,bridge
data/raw/nwpu_resisc45/forest/forest_00515.jpg,13,forest
data/raw/nwpu_resisc45/parking_lot/parking_lot_00445.jpg,28,parking_lot
data/raw/nwpu_resisc45/overpass/overpass_00323.jpg,26,overpass
data/raw/nwpu_resisc45/industrial_area/industrial_area_00183.jpg,18,industrial_area
data/raw/nwpu_resisc45/runway/runway_00562.jpg,34,runway
data/raw/nwpu_resisc45/commercial_area/commercial_area_00115.jpg,10,commercial_area
data/raw/nwpu_resisc45/airplane/airplane_00339.jpg,0,airplane
